player_id,name,bat_style,bowl_style,bowl_type,role,age,bat_hand
326434,Alex Tyson Carey,Left-hand bat,,,Wicketkeeper batter,34,left
249866,Alexander Daniel Hales,Right-hand bat,Right-arm medium,pace,Opening batter,37,right
670031,Alzarri Shaheim Joseph,Right-hand bat,Right-arm fast,pace,Bowler,29,right
1254269,Aman Khan,Right-hand bat,Right-arm medium,pace,Allrounder,29,right
33141,Ambati Thirupathi Rayudu,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,40,right
31107,Amit Mishra,Right-hand bat,Legbreak,spin,Bowler,43,right
276298,Andre Dwayne Russell,Right-hand bat,Right-arm fast,pace,Allrounder,37,right
459508,Andrew James Tye,Right-hand bat,Right-arm medium-fast,pace,Bowler,39,right
49764,Angelo Davis Mathews,Right-hand bat,Right-arm medium,pace,Allrounder,38,right
1292495,Angkrish Raghuvanshi,Right-hand bat,Slow left-arm orthodox,spin,Top-order batter,21,right
527299,Aniket Vinod Choudhary,Right-hand bat,Left-arm medium,pace,Bowler,36,right
327123,Ankit Ramdas Bawne,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,33,right
591650,Ankit Singh Rajpoot,Right-hand bat,Right-arm medium,pace,Bowler,32,right
422992,Ankit Nagendra Sharma,Left-hand bat,Slow left-arm orthodox,spin,Bowler,34,left
1083128,Ankit Soni,Right-hand bat,Legbreak,spin,Allrounder,32,right
851261,Anmolpreet Singh,Right-hand bat,Right-arm offbreak,spin,Batter,27,right
481979,Anrich Arno Nortje,Right-hand bat,Right-arm fast,pace,Bowler,32,right
1175428,Anshul Kamboj,Right-hand bat,Right-arm medium,pace,Bowling allrounder,25,right
1123073,Anuj Rawat,Left-hand bat,,,Wicketkeeper batter,26,left
1079839,Anukul Sudhakar Roy,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,27,left
376324,Kathuria Anureet Singh,Right-hand bat,Right-arm medium,pace,Bowler,38,right
1148776,Arjun Sachin Tendulkar,Left-hand bat,Left-arm medium-fast,pace,Bowler,26,left
1244751,Mohd Arshad Khan,Left-hand bat,Left-arm fast-medium,pace,Bowler,28,left
1125976,Arshdeep Singh,Left-hand bat,Left-arm medium-fast,pace,Bowler,27,left
1403153,Arshin Atul Kulkarni,Right-hand bat,Right-arm medium,pace,Allrounder,21,right
31820,Ashish Nehra,Right-hand bat,Left-arm medium-fast,pace,Bowler,46,right
389605,Ammana Ashish Reddy,Right-hand bat,Right-arm medium,pace,Allrounder,35,right
227712,Ashok Bhimchandra Dinda,Right-hand bat,Right-arm medium-fast,pace,Bowler,41,right
500268,Ashton James Turner,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,33,right
1131978,Ashutosh Rambabu Sharma,Right-hand bat,,,Batting allrounder,27,right
1125958,Atharva Taide,Left-hand bat,Slow left-arm orthodox,spin,Batting allrounder,25,left
694211,Avesh Khan,Right-hand bat,Right-arm fast-medium,pace,Bowler,29,right
554691,Axar Rajeshbhai Patel,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,32,left
1151270,Ayush Badoni,Right-hand bat,Right-arm offbreak,spin,Batter,26,right
39024,Azhar Mahmood Sagar,Right-hand bat,Right-arm fast-medium,pace,Bowling allrounder,51,right
819429,Azmatullah Omarzai,Right-hand bat,Right-arm medium-fast,pace,Allrounder,25,right
917231,Belur Ravi Sharath,Right-hand bat,,,Wicketkeeper batter,29,right
477069,Baba Indrajith,Right-hand bat,Legbreak googly,spin,Top-order batter,31,right
537126,Barinder Balbirsingh Sran,Left-hand bat,Left-arm medium,pace,Bowler,33,left
732291,Basil Thampi,Right-hand bat,Right-arm fast-medium,pace,Bowler,32,right
230371,Benjamin Colin James Cutting,Right-hand bat,Right-arm fast-medium,pace,Allrounder,39,right
315623,Ben Laughlin,Right-hand bat,Right-arm fast-medium,pace,Bowler,43,right
311158,Benjamin Andrew Stokes,Left-hand bat,Right-arm fast-medium,pace,Allrounder,34,left
379927,Beuran Eric Hendricks,Left-hand bat,Left-arm fast-medium,pace,Bowler,35,left
342619,Pramod Bhanuka Bandara Rajapaksa,Left-hand bat,Right-arm medium,pace,Top-order batter,34,left
326016,Bhuvneshwar Kumar Singh,Right-hand bat,Right-arm medium,pace,Bowler,36,right
533042,Billy James Stanlake,Left-hand bat,Right-arm fast,pace,Bowler,31,left
35928,Bipul Sharma,Left-hand bat,Slow left-arm orthodox,spin,Allrounder,42,left
5681,George Bradley Hogg,Left-hand bat,Left-arm wrist-spin,spin,Allrounder,55,left
